employee_id,store_id,first_name,last_name,email,role,dept_id,joining_date,salary
26,58,Bhavini,Buch,bhavini.buch@retailmart.com,Sales Executive,1,2021-08-04,35262
27,197,Krishna,Pal,krishna.pal@retailmart.com,Logistics Coordinator,10,2021-04-27,48159
28,81,Praneel,Tripathi,praneel.tripathi@retailmart.com,Data Engineer,8,2025-03-13,141017
29,137,Lajita,Raju,lajita.raju@retailmart.com,Cashier,4,2025-04-05,21960
30,2,Isha,Kara,isha.kara@retailmart.com,Inventory Clerk,5,2025-05-18,34271
31,125,Anvi,Ramanathan,anvi.ramanathan@retailmart.com,Cashier,4,2025-07-01,24187
32,93,Isha,Mital,isha.mital@retailmart.com,Data Analyst,8,2025-05-05,87099
33,86,Chaitanya,Dhillon,chaitanya.dhillon@retailmart.com,Visual Merchandiser,9,2023-10-26,30784
34,44,Oliver,Mani,oliver.mani@retailmart.com,Customer Service Rep,7,2025-07-25,36622
35,151,Suhani,Mand,suhani.mand@retailmart.com,Store Associate,9,2025-11-09,18373
36,48,Rajata,Bassi,rajata.bassi@retailmart.com,Visual Merchandiser,10,2025-11-07,58320
37,78,Frado,Nazareth,frado.nazareth@retailmart.com,Finance Executive,4,2026-01-26,68938
38,14,Pahal,Varkey,pahal.varkey@retailmart.com,Customer Service Rep,3,2025-03-07,35907
39,148,Ekavir,Muni,ekavir.muni@retailmart.com,Cashier,10,2025-10-09,20552
40,147,Gaurangi,Kant,gaurangi.kant@retailmart.com,Inventory Clerk,6,2022-05-24,19749
41,152,Saksham,Yogi,saksham.yogi@retailmart.com,Inventory Clerk,9,2025-06-16,24753
42,113,Noah,Peri,noah.peri@retailmart.com,Logistics Coordinator,2,2025-02-05,52984
43,9,Brijesh,Sethi,brijesh.sethi@retailmart.com,HR Executive,5,2023-03-18,72193
44,151,Panini,Kibe,panini.kibe@retailmart.com,Security Supervisor,10,2025-11-24,31526
45,36,Meera,Mittal,meera.mittal@retailmart.com,Sales Executive,7,2025-01-05,35175
46,118,Ekani,Puri,ekani.puri@retailmart.com,Store Manager,4,2024-08-15,132933
47,42,Isaiah,Nigam,isaiah.nigam@retailmart.com,Data Engineer,8,2025-02-14,130377
48,30,Wyatt,Atwal,wyatt.atwal@retailmart.com,Regional Manager,7,2024-12-17,173246
49,111,Girish,Sarna,girish.sarna@retailmart.com,Cashier,3,2025-10-19,20495
50,141,Ubika,Nagarajan,ubika.nagarajan@retailmart.com,Sales Executive,3,2023-12-15,42622
51,13,Sanaya,Sahota,sanaya.sahota@retailmart.com,Sales Executive,7,2025-05-22,33307
52,42,Vyanjana,Devan,vyanjana.devan@retailmart.com,Regional Manager,10,2025-04-19,162606
53,196,Gavin,Chawla,gavin.chawla@retailmart.com,Marketing Associate,2,2025-11-28,20965
54,55,Adweta,Bora,adweta.bora@retailmart.com,Data Engineer,3,2024-03-17,169029
55,18,Gaurang,Ratta,gaurang.ratta@retailmart.com,Marketing Associate,9,2025-06-29,27578
56,1,Harita,Swaminathan,harita.swaminathan@retailmart.com,Sales Executive,7,2024-11-23,30604
57,125,Bachittar,Mani,bachittar.mani@retailmart.com,Data Engineer,3,2026-02-12,137123
58,41,Ikbal,Krishnan,ikbal.krishnan@retailmart.com,Regional Manager,7,2023-04-27,174854
59,72,Zinal,Narang,zinal.narang@retailmart.com,Customer Service Rep,8,2023-08-28,23963
60,36,Tara,Prakash,tara.prakash@retailmart.com,Finance Executive,5,2025-07-02,77575
61,37,Faqid,Mistry,faqid.mistry@retailmart.com,HR Executive,3,2024-06-07,48471
62,1,Faqid,Chandran,faqid.chandran@retailmart.com,Customer Service Rep,9,2022-06-16,23714
63,153,Benjamin,Das,benjamin.das@retailmart.com,Customer Service Rep,5,2025-03-09,27961
64,56,Pahal,Patil,pahal.patil@retailmart.com,Sales Executive,6,2024-07-19,49040
65,55,Faraj,Borra,faraj.borra@retailmart.com,Maintenance Staff,7,2023-01-27,14217
66,96,Ishani,Venkatesh,ishani.venkatesh@retailmart.com,Finance Executive,4,2024-05-04,41627
67,111,Hemangini,Raghavan,hemangini.raghavan@retailmart.com,Regional Manager,1,2023-03-19,140468
68,20,Daksha,Zacharia,daksha.zacharia@retailmart.com,Logistics Coordinator,3,2023-08-01,43705
69,84,Yug,Singhal,yug.singhal@retailmart.com,Data Engineer,6,2025-05-25,110654
70,68,Vasana,Randhawa,vasana.randhawa@retailmart.com,Customer Service Rep,1,2024-04-22,43442
71,92,Tamanna,Narayan,tamanna.narayan@retailmart.com,Visual Merchandiser,2,2025-07-30,45180
72,74,Siddharth,Cheema,siddharth.cheema@retailmart.com,Regional Manager,9,2024-08-12,161126
73,28,Jagrati,Lall,jagrati.lall@retailmart.com,Cashier,9,2024-09-04,21900
74,45,Vedant,Atwal,vedant.atwal@retailmart.com,Store Associate,2,2025-05-10,16591
75,127,Brijesh,Sachdeva,brijesh.sachdeva@retailmart.com,Logistics Coordinator,10,2023-07-22,34461
76,60,Lakshit,Grewal,lakshit.grewal@retailmart.com,Inventory Clerk,2,2024-11-24,28046
77,124,Ekansh,Seth,ekansh.seth@retailmart.com,Cashier,6,2023-12-10,16302
78,150,Vedant,Sandal,vedant.sandal@retailmart.com,Regional Manager,4,2023-05-17,151938
79,143,Xiti,Divan,xiti.divan@retailmart.com,Customer Service Rep,10,2025-03-08,27452
80,10,Xavier,Behl,xavier.behl@retailmart.com,Store Associate,5,2024-03-30,15151
81,142,Garima,Sem,garima.sem@retailmart.com,Marketing Associate,7,2024-04-27,38248
82,94,Bhavya,Sidhu,bhavya.sidhu@retailmart.com,Assistant Manager,6,2025-10-10,59011
83,78,Harini,Mutti,harini.mutti@retailmart.com,Inventory Clerk,2,2025-07-22,21453
84,44,Hemal,Vora,hemal.vora@retailmart.com,Assistant Manager,8,2025-06-06,64383
85,14,Tamanna,Iyengar,tamanna.iyengar@retailmart.com,Data Engineer,5,2023-09-07,136302
86,120,Samuel,Kurian,samuel.kurian@retailmart.com,Visual Merchandiser,1,2025-03-12,41816
87,145,Tara,Randhawa,tara.randhawa@retailmart.com,Logistics Coordinator,9,2025-05-18,58462
88,188,Jalsa,Bal,jalsa.bal@retailmart.com,Marketing Associate,3,2024-01-06,35922
89,177,Kamya,Narain,kamya.narain@retailmart.com,Inventory Clerk,6,2025-05-19,25601
90,128,Samar,Tella,samar.tella@retailmart.com,Inventory Clerk,3,2023-01-31,21883
91,57,Shivani,Sampath,shivani.sampath@retailmart.com,Data Engineer,9,2023-11-23,160372
92,51,Rachana,Mann,rachana.mann@retailmart.com,Security Supervisor,6,2024-04-04,26057
93,183,Reyansh,Ratta,reyansh.ratta@retailmart.com,Logistics Coordinator,2,2025-09-09,59673
94,101,Unnati,Goda,unnati.goda@retailmart.com,Customer Service Rep,9,2025-05-03,21970
95,77,Yashawini,Aggarwal,yashawini.aggarwal@retailmart.com,Store Associate,5,2025-11-10,19596
96,83,Tanveer,Dave,tanveer.dave@retailmart.com,Inventory Clerk,7,2024-01-10,22017
97,185,Chandani,Memon,chandani.memon@retailmart.com,Data Analyst,3,2024-07-30,96429
98,39,Wridesh,Atwal,wridesh.atwal@retailmart.com,HR Executive,3,2026-02-01,59381
99,152,Reva,Krish,reva.krish@retailmart.com,Maintenance Staff,8,2025-08-27,13008
100,97,Pushti,Pandey,pushti.pandey@retailmart.com,HR Executive,4,2025-09-27,43628
101,80,William,Kota,william.kota@retailmart.com,Store Manager,3,2021-10-16,105392
102,26,Hemal,Karan,hemal.karan@retailmart.com,Finance Executive,5,2023-08-24,44141
103,29,Triveni,Palla,triveni.palla@retailmart.com,Visual Merchandiser,2,2024-05-19,49200
104,23,Urmi,Nagarajan,urmi.nagarajan@retailmart.com,Regional Manager,4,2022-11-25,232514
105,17,Forum,Dora,forum.dora@retailmart.com,Finance Executive,4,2025-06-26,66310
106,184,Aarini,Choudhary,aarini.choudhary@retailmart.com,HR Executive,8,2022-09-08,59812
107,118,Laban,Raja,laban.raja@retailmart.com,Regional Manager,8,2023-03-11,216868
108,172,Daniel,Nagar,daniel.nagar@retailmart.com,Inventory Clerk,9,2025-05-20,19613
109,51,Mohammed,Iyengar,mohammed.iyengar@retailmart.com,Store Associate,6,2023-12-13,26883
110,199,Meghana,Kapadia,meghana.kapadia@retailmart.com,Data Engineer,9,2025-02-19,215023
111,73,Lopa,Agarwal,lopa.agarwal@retailmart.com,Sales Executive,5,2025-04-04,39504
112,195,Charles,Dora,charles.dora@retailmart.com,Logistics Coordinator,5,2025-10-05,58625
113,50,Bahadurjit,Saini,bahadurjit.saini@retailmart.com,HR Executive,5,2024-09-07,40057
114,198,Eshana,Khalsa,eshana.khalsa@retailmart.com,HR Executive,10,2025-09-27,43433
115,158,Jason,Sankaran,jason.sankaran@retailmart.com,Assistant Manager,6,2022-07-12,78703
116,34,Noah,Palla,noah.palla@retailmart.com,Regional Manager,4,2025-01-01,219061
117,115,Upkaar,Goda,upkaar.goda@retailmart.com,Cashier,2,2024-05-15,21633
118,142,Qarin,Kadakia,qarin.kadakia@retailmart.com,Sales Executive,2,2024-10-17,42764
119,170,Udant,Kalita,udant.kalita@retailmart.com,Cashier,6,2025-03-02,15203
120,69,Xalak,Bains,xalak.bains@retailmart.com,Inventory Clerk,6,2024-05-06,33592
121,23,Deepa,Swamy,deepa.swamy@retailmart.com,Security Supervisor,10,2023-03-09,30406
122,136,Siddharth,Manda,siddharth.manda@retailmart.com,Inventory Clerk,7,2022-11-26,28326
123,158,Nikita,Ramachandran,nikita.ramachandran@retailmart.com,Marketing Associate,7,2025-12-21,44160
124,14,Vrishti,Seshadri,vrishti.seshadri@retailmart.com,Store Manager,3,2023-05-20,83026
125,127,Oviya,Batra,oviya.batra@retailmart.com,Cashier,8,2024-11-18,25707
126,163,Aahana,Mann,aahana.mann@retailmart.com,Inventory Clerk,4,2024-05-03,23447
127,3,Jonathan,Nadig,jonathan.nadig@retailmart.com,Logistics Coordinator,5,2025-02-04,39668
128,110,Omaja,Sarna,omaja.sarna@retailmart.com,Data Analyst,7,2025-10-13,129844
129,64,Frado,Chandran,frado.chandran@retailmart.com,Security Supervisor,8,2025-05-08,27784
130,172,Yadavi,Sharaf,yadavi.sharaf@retailmart.com,Regional Manager,5,2026-01-24,227221
131,43,Sudiksha,Dey,sudiksha.dey@retailmart.com,Inventory Clerk,7,2025-10-28,30860
132,179,Owen,Kumar,owen.kumar@retailmart.com,Store Manager,6,2023-10-05,130284
133,131,Niharika,Malhotra,niharika.malhotra@retailmart.com,Cashier,10,2021-09-26,28751
134,189,Kevin,Narayan,kevin.narayan@retailmart.com,Maintenance Staff,9,2021-10-16,14214
135,136,Jack,Nagar,jack.nagar@retailmart.com,Data Analyst,7,2023-01-04,94782
136,47,Barkha,Natarajan,barkha.natarajan@retailmart.com,Maintenance Staff,1,2025-09-02,22884
137,109,Faras,Mammen,faras.mammen@retailmart.com,Sales Executive,1,2025-12-10,26763
138,119,Lavanya,Mangat,lavanya.mangat@retailmart.com,Logistics Coordinator,4,2023-03-18,48444
139,189,Ubika,Choudhary,ubika.choudhary@retailmart.com,Customer Service Rep,2,2022-09-04,39225
140,124,Divya,Chad,divya.chad@retailmart.com,Sales Executive,8,2021-10-10,46611
141,123,Raagini,Soman,raagini.soman@retailmart.com,Data Analyst,4,2025-04-19,77003
142,44,Chaitanya,Jhaveri,chaitanya.jhaveri@retailmart.com,Cashier,9,2025-06-18,21798
143,48,Sanaya,Sunder,sanaya.sunder@retailmart.com,Sales Executive,4,2022-02-23,38734
144,19,Hamsini,Jain,hamsini.jain@retailmart.com,Inventory Clerk,5,2025-05-19,29630
145,142,Ethan,Kohli,ethan.kohli@retailmart.com,Marketing Associate,1,2025-12-13,20427
146,8,Panini,Nagar,panini.nagar@retailmart.com,Customer Service Rep,6,2023-01-25,38200
147,138,Zarna,Varghese,zarna.varghese@retailmart.com,Marketing Associate,6,2024-10-05,37407
148,141,Veer,Krishnamurthy,veer.krishnamurthy@retailmart.com,Marketing Associate,10,2025-08-08,38833
149,57,Krish,Choudhry,krish.choudhry@retailmart.com,HR Executive,7,2023-05-08,49639
150,121,Dominic,Sarin,dominic.sarin@retailmart.com,Finance Executive,2,2024-07-29,49663
151,28,Pooja,Baral,pooja.baral@retailmart.com,Cashier,2,2024-08-14,25236
152,134,Janya,Bir,janya.bir@retailmart.com,Logistics Coordinator,1,2022-12-22,30384
153,119,Faqid,Sidhu,faqid.sidhu@retailmart.com,Data Engineer,8,2022-10-06,119994
154,15,Aarnav,Ramaswamy,aarnav.ramaswamy@retailmart.com,Assistant Manager,7,2021-04-25,56691
155,37,Chaitanya,Kata,chaitanya.kata@retailmart.com,Regional Manager,9,2023-04-24,183604
156,3,Fiyaz,Suri,fiyaz.suri@retailmart.com,Security Supervisor,10,2025-01-23,35420
157,113,Zaid,Sankar,zaid.sankar@retailmart.com,Marketing Associate,5,2025-12-08,29704
158,29,Jack,Gokhale,jack.gokhale@retailmart.com,Security Supervisor,3,2023-08-22,26080
159,156,Anthony,Sami,anthony.sami@retailmart.com,Store Manager,4,2022-08-10,82787
160,182,Isaac,Chaudhry,isaac.chaudhry@retailmart.com,Store Associate,7,2025-06-03,25445
161,134,Dayita,Kara,dayita.kara@retailmart.com,Visual Merchandiser,4,2025-06-03,38635
162,161,Zansi,Grewal,zansi.grewal@retailmart.com,Visual Merchandiser,4,2025-02-14,59242
163,11,Unni,Kalita,unni.kalita@retailmart.com,Cashier,8,2023-04-23,17352
164,155,Madhavi,Maharaj,madhavi.maharaj@retailmart.com,Regional Manager,5,2021-12-02,152595
165,147,Ojas,Uppal,ojas.uppal@retailmart.com,Visual Merchandiser,4,2023-03-24,47169
166,10,Jeet,Chowdhury,jeet.chowdhury@retailmart.com,Data Analyst,10,2022-10-25,102472
167,135,Nathan,Vala,nathan.vala@retailmart.com,Security Supervisor,6,2025-04-26,31151
168,35,Chanchal,Shankar,chanchal.shankar@retailmart.com,Data Analyst,2,2023-03-22,97431
169,161,Aadi,Rao,aadi.rao@retailmart.com,Data Engineer,2,2024-07-02,213733
170,152,Brinda,Majumdar,brinda.majumdar@retailmart.com,Sales Executive,5,2026-01-13,47263
171,83,Udyati,Saha,udyati.saha@retailmart.com,Visual Merchandiser,4,2024-07-17,35410
172,68,Arjun,Ratta,arjun.ratta@retailmart.com,Store Manager,3,2026-01-31,102129
173,62,Reva,Bahri,reva.bahri@retailmart.com,Maintenance Staff,3,2025-02-05,19310
174,51,Xavier,Pal,xavier.pal@retailmart.com,Inventory Clerk,8,2023-12-04,25768
175,29,Falak,Keer,falak.keer@retailmart.com,Customer Service Rep,8,2024-09-08,41313
176,59,Shravya,Gara,shravya.gara@retailmart.com,Store Associate,1,2025-09-03,18185
177,86,Parth,Ganesh,parth.ganesh@retailmart.com,Security Supervisor,9,2025-12-12,31775
178,14,Yasti,Lanka,yasti.lanka@retailmart.com,Inventory Clerk,3,2023-06-16,18996
179,140,Hardik,Kurian,hardik.kurian@retailmart.com,Data Engineer,3,2022-10-04,101792
180,32,Warda,Parikh,warda.parikh@retailmart.com,Assistant Manager,1,2023-11-20,73748
181,60,Ekaraj,Vohra,ekaraj.vohra@retailmart.com,Marketing Associate,10,2025-03-14,47359
182,90,Ganga,Agate,ganga.agate@retailmart.com,Store Associate,9,2023-02-17,17181
183,7,Ekansh,Dash,ekansh.dash@retailmart.com,Store Manager,2,2026-01-10,101404
184,39,Banjeet,Pandey,banjeet.pandey@retailmart.com,Logistics Coordinator,1,2026-02-08,37518
185,182,Gauri,Hans,gauri.hans@retailmart.com,Data Analyst,7,2024-11-27,133302
186,112,Arunima,Magar,arunima.magar@retailmart.com,Cashier,10,2024-03-20,19905
187,185,Balvan,Sheth,balvan.sheth@retailmart.com,Data Engineer,8,2023-04-29,108648
188,23,Guneet,Guha,guneet.guha@retailmart.com,Security Supervisor,4,2025-12-05,24375
189,163,Lajita,Dhar,lajita.dhar@retailmart.com,Cashier,3,2024-06-24,29164
190,85,Yauvani,Manda,yauvani.manda@retailmart.com,Store Associate,4,2023-09-18,15617
191,10,Onkar,Hari,onkar.hari@retailmart.com,Customer Service Rep,10,2022-09-08,35347
192,90,Kiaan,Barman,kiaan.barman@retailmart.com,Visual Merchandiser,4,2025-11-16,31559
193,128,Ishaan,Balasubramanian,ishaan.balasubramanian@retailmart.com,Maintenance Staff,4,2025-04-18,17517
194,9,Pallavi,Shroff,pallavi.shroff@retailmart.com,Marketing Associate,4,2024-07-14,21437
195,63,Jyoti,Batra,jyoti.batra@retailmart.com,Marketing Associate,2,2024-05-08,41208
196,96,Azaan,Koshy,azaan.koshy@retailmart.com,Sales Executive,2,2021-12-25,30206
197,113,Arjun,Mallick,arjun.mallick@retailmart.com,Sales Executive,4,2025-10-08,37473
198,10,Megha,Bumb,megha.bumb@retailmart.com,Store Associate,6,2024-08-20,18678
199,196,Saksham,Barad,saksham.barad@retailmart.com,Store Associate,8,2025-10-24,18075
200,192,Krisha,Parekh,krisha.parekh@retailmart.com,Visual Merchandiser,5,2024-07-13,48703
201,50,Rohan,Khalsa,rohan.khalsa@retailmart.com,Logistics Coordinator,2,2025-12-28,57720
202,170,Avni,Lall,avni.lall@retailmart.com,Store Associate,1,2025-07-25,17308
203,89,Manan,Ahuja,manan.ahuja@retailmart.com,Regional Manager,7,2025-03-10,231645
204,42,Wahab,Edwin,wahab.edwin@retailmart.com,Cashier,9,2024-06-07,26398
205,131,Omaja,Venkatesh,omaja.venkatesh@retailmart.com,Regional Manager,4,2026-01-01,141374
206,197,Chavvi,Reddy,chavvi.reddy@retailmart.com,Regional Manager,3,2025-05-30,231700
207,20,Nisha,Sarma,nisha.sarma@retailmart.com,Inventory Clerk,1,2025-11-05,19448
208,156,Forum,Tank,forum.tank@retailmart.com,Cashier,8,2023-05-14,15276
209,73,Aarav,Mall,aarav.mall@retailmart.com,Maintenance Staff,10,2025-06-13,17071
210,168,Finn,Venkatesh,finn.venkatesh@retailmart.com,Assistant Manager,8,2023-01-06,52299
211,189,Falan,Sundaram,falan.sundaram@retailmart.com,Store Manager,7,2022-02-21,147614
212,64,Aadhya,Venkataraman,aadhya.venkataraman@retailmart.com,Customer Service Rep,5,2024-10-01,34549
213,151,Bhavika,Jaggi,bhavika.jaggi@retailmart.com,Data Analyst,3,2024-11-30,96767
214,32,Nandini,Doctor,nandini.doctor@retailmart.com,Cashier,3,2023-08-02,19029
215,88,Darpan,Bhargava,darpan.bhargava@retailmart.com,Store Associate,3,2024-08-15,16008
216,125,Liam,Bora,liam.bora@retailmart.com,Cashier,9,2025-04-29,23297
217,190,Luke,Balasubramanian,luke.balasubramanian@retailmart.com,Customer Service Rep,5,2025-01-03,32257
218,78,Vrishti,Sathe,vrishti.sathe@retailmart.com,Logistics Coordinator,8,2025-05-18,51119
219,57,Vanya,Nagar,vanya.nagar@retailmart.com,Maintenance Staff,7,2025-06-09,15214
220,59,Vedhika,Lall,vedhika.lall@retailmart.com,Assistant Manager,1,2024-02-17,72833
221,90,Isaiah,Nagar,isaiah.nagar@retailmart.com,Regional Manager,7,2026-01-25,181320
222,58,Ishita,Sehgal,ishita.sehgal@retailmart.com,Store Associate,7,2025-07-30,25595
223,59,Sudiksha,Thaker,sudiksha.thaker@retailmart.com,Inventory Clerk,10,2025-10-04,24884
224,197,Chakradev,Mukherjee,chakradev.mukherjee@retailmart.com,HR Executive,5,2025-08-16,72860
225,61,Hardik,Sarna,hardik.sarna@retailmart.com,Data Analyst,3,2025-04-04,66775
226,180,Radhika,Mannan,radhika.mannan@retailmart.com,Finance Executive,5,2022-05-03,79544
227,22,Anamika,Chatterjee,anamika.chatterjee@retailmart.com,Data Engineer,10,2022-10-30,112347
228,61,Unni,Saraf,unni.saraf@retailmart.com,Data Engineer,2,2024-10-30,199711
229,198,Vyanjana,Mishra,vyanjana.mishra@retailmart.com,Customer Service Rep,2,2025-07-29,33925
230,79,Amol,Loke,amol.loke@retailmart.com,Visual Merchandiser,4,2024-11-09,40933
231,156,Gautami,Thaker,gautami.thaker@retailmart.com,Security Supervisor,4,2022-11-16,36006
232,72,Chaitaly,Sheth,chaitaly.sheth@retailmart.com,Store Associate,9,2022-03-27,19791
233,60,Anjali,Mangat,anjali.mangat@retailmart.com,Customer Service Rep,2,2025-05-14,32470
234,53,Amol,Mody,amol.mody@retailmart.com,Customer Service Rep,3,2025-04-18,40947
235,36,Nitesh,Chaudhari,nitesh.chaudhari@retailmart.com,Visual Merchandiser,7,2025-08-18,32059
236,73,Hema,Khare,hema.khare@retailmart.com,Finance Executive,8,2025-09-25,54004
237,193,Wriddhish,Sawhney,wriddhish.sawhney@retailmart.com,Assistant Manager,9,2023-09-15,78506
238,112,Dakshesh,Iyer,dakshesh.iyer@retailmart.com,Data Engineer,1,2022-11-07,173867
239,182,Yatan,Murthy,yatan.murthy@retailmart.com,Maintenance Staff,2,2025-01-11,22492
240,58,Parth,Bandi,parth.bandi@retailmart.com,HR Executive,9,2022-06-12,64920
241,180,Jeremiah,Tailor,jeremiah.tailor@retailmart.com,Inventory Clerk,2,2025-04-05,19838
242,50,Qushi,Kanda,qushi.kanda@retailmart.com,Data Analyst,6,2024-02-09,89882
243,181,Aachal,Sura,aachal.sura@retailmart.com,Store Associate,6,2023-08-04,15829
244,161,Vritti,Garg,vritti.garg@retailmart.com,Store Associate,1,2023-03-10,28016
245,162,Amara,Gill,amara.gill@retailmart.com,Customer Service Rep,2,2025-01-29,26173
246,57,Warda,Sahota,warda.sahota@retailmart.com,Inventory Clerk,10,2023-04-29,33883
247,27,Kala,Bakshi,kala.bakshi@retailmart.com,Data Analyst,2,2025-08-12,104898
248,193,Priya,Swamy,priya.swamy@retailmart.com,HR Executive,8,2024-07-14,73989
249,111,Maanav,Goyal,maanav.goyal@retailmart.com,Visual Merchandiser,9,2024-07-31,58152
250,119,Tarak,Dey,tarak.dey@retailmart.com,Finance Executive,4,2023-10-29,64257
251,166,Amaira,Mishra,amaira.mishra@retailmart.com,Inventory Clerk,5,2025-04-02,31271
252,157,Shivansh,Batra,shivansh.batra@retailmart.com,Finance Executive,4,2025-01-08,46708
253,18,Niharika,Brar,niharika.brar@retailmart.com,Cashier,9,2023-03-30,18833
254,152,Liam,Viswanathan,liam.viswanathan@retailmart.com,Security Supervisor,5,2025-02-17,26750
255,158,Shravya,Ramachandran,shravya.ramachandran@retailmart.com,Visual Merchandiser,2,2023-05-25,37109
256,74,Fariq,Jain,fariq.jain@retailmart.com,Regional Manager,10,2025-03-30,211926
257,30,Ekalinga,Kadakia,ekalinga.kadakia@retailmart.com,HR Executive,2,2025-08-16,66145
258,151,Janani,Pal,janani.pal@retailmart.com,Store Associate,8,2025-01-20,19538
259,45,Damyanti,Kashyap,damyanti.kashyap@retailmart.com,Security Supervisor,9,2025-04-01,31499
260,71,Abdul,Batta,abdul.batta@retailmart.com,Store Manager,8,2025-09-04,131423
261,192,Warda,Dani,warda.dani@retailmart.com,Visual Merchandiser,7,2025-11-02,30311
262,113,Gavin,Wagle,gavin.wagle@retailmart.com,Store Associate,4,2024-12-22,15084
263,163,Timothy,Tandon,timothy.tandon@retailmart.com,Marketing Associate,3,2024-10-20,28262
264,55,Upasna,Nagi,upasna.nagi@retailmart.com,Marketing Associate,5,2024-02-05,27647
265,142,Avi,Soni,avi.soni@retailmart.com,Assistant Manager,3,2025-04-09,63250
266,51,Gaurika,Reddy,gaurika.reddy@retailmart.com,Regional Manager,5,2025-02-14,135177
267,89,Unni,Luthra,unni.luthra@retailmart.com,Logistics Coordinator,1,2025-10-17,51459
268,31,Lopa,Kibe,lopa.kibe@retailmart.com,Finance Executive,2,2026-01-05,71255
269,14,Baghyawati,Dube,baghyawati.dube@retailmart.com,Store Associate,2,2024-01-23,27291
270,11,Akshay,Chaudhari,akshay.chaudhari@retailmart.com,Maintenance Staff,6,2025-03-15,14186
271,100,Jatin,Butala,jatin.butala@retailmart.com,Logistics Coordinator,5,2025-11-21,42306
272,12,Hema,Mital,hema.mital@retailmart.com,Logistics Coordinator,5,2024-04-17,32711
273,64,Pranit,Comar,pranit.comar@retailmart.com,Customer Service Rep,8,2024-12-03,39807
274,137,Simon,Bhatia,simon.bhatia@retailmart.com,Cashier,7,2024-12-14,25648
275,104,Shravya,Kumar,shravya.kumar@retailmart.com,Store Associate,4,2024-04-21,20376
276,183,Champak,Krishnan,champak.krishnan@retailmart.com,Data Engineer,9,2024-10-15,218652
277,124,Bahadurjit,Radhakrishnan,bahadurjit.radhakrishnan@retailmart.com,Data Analyst,8,2024-04-24,137520
278,118,Panini,Dixit,panini.dixit@retailmart.com,Customer Service Rep,1,2023-11-20,40909
279,152,Yadavi,Mitter,yadavi.mitter@retailmart.com,Regional Manager,10,2025-07-27,121874
280,13,Eshana,Pandya,eshana.pandya@retailmart.com,Sales Executive,9,2025-04-07,48100
281,78,Pooja,Setty,pooja.setty@retailmart.com,HR Executive,9,2025-02-18,55675
282,181,Nisha,Madan,nisha.madan@retailmart.com,Security Supervisor,10,2024-02-23,34102
283,152,Megha,Bandi,megha.bandi@retailmart.com,Marketing Associate,7,2025-12-22,34998
284,56,Waida,Palla,waida.palla@retailmart.com,Cashier,1,2023-05-02,16805
285,68,Aarini,Amble,aarini.amble@retailmart.com,Finance Executive,7,2025-11-11,70424
